Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"US-Tx2"	"Riesel Farm Native Prairie"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"914"	"18.95"	"USA"	"31.4802"	"-96.8827"	"162"	""	"https://doi.org/"	""	"https://doi.org/"	"2016"	""	""	""
"US-Tx3"	"Riesel Farm Aspirational Agriculture"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"914"	"18.95"	"USA"	"31.4777"	"-96.8883"	"167"	""	"https://doi.org/"	""	"https://doi.org/"	"2016"	""	""	""
"US-Tx4"	"Riesel Farm Traditional Agriculture"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"914"	"18.95"	"USA"	"31.4693"	"-96.8865"	"173"	""	"https://doi.org/"	""	"https://doi.org/"	"2016"	""	""	""
"US-Tx5"	"Texas A&M University Farm"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"CVM"	"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"991"	"19.95"	"USA"	"30.5328"	"-96.4252"	"68"	""	"https://doi.org/"	""	"https://doi.org/"	"2016"	""	""	""
"US-Tx6"	"La Copita Grassland - Savanna"	"Cliff Lamb (gclamb@tamu.edu)"	"Legacy"	"No"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"716"	"22.2"	"USA"	"27.6666"	"-98.2089"	"82"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	""	""	""
"US-Tx7"	"La Copita Shrubland - Savanna"	"Cliff Lamb (gclamb@tamu.edu)"	"Legacy"	"No"	"No"	"CSH"	"Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"716"	"22.2"	"USA"	"27.6650"	"-98.2007"	"82"	""	"https://doi.org/"	""	"https://doi.org/"	"2016"	""	""	""
"US-Tx8"	"Danciger Lowland Hardwood Forest"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1143"	"20.6"	"USA"	"29.1659"	"-95.8290"	"16"	""	"https://doi.org/"	""	"https://doi.org/"	"2019"	""	""	""
"US-Tx9"	"Sargent Unit Salt Marsh"	"Binayak Mohanty (bmohanty@tamu.edu)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1245"	"21.15"	"USA"	"28.7805"	"-95.6144"	"0"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	""	""	""
"US-Uaf"	"University of Alaska, Fairbanks"	"Yoshinobu Harazono (harazono2009gl@gmail.com)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dwc"	"Subarctic: severe, dry winter, cool summer "	"263"	"-2.9"	"USA"	"64.8663"	"-147.8555"	"155"	"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1480322"	""	"https://doi.org/"	"2002"	""	"CH4, CO2, D_SNOW, FC, FCH4, FETCH_80, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SCH4, SWC, SW_IN, SW_OUT, TA, T_BOLE, T_CANOPY, TS, T_SONIC_SIGMA, TW, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WTD"	""
"US-UC1"	"LTAR UCB (Upper Chesapeake Bay) EC1"	"Sarah Goslee (sarah.goslee@usda.gov)"	"CC-BY-4.0"	"Yes"	"No"	"CVM"	"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1006.35"	"10.1"	"USA"	"40.7536"	"-78.0056"	"390"	"2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1865482"	""	"https://doi.org/"	"2019"	""	"CO2, CO2_MIXING_RATIO, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UC2"	"LTAR UCB (Upper Chesapeake Bay) EC2"	"Sarah Goslee (sarah.goslee@usda.gov)"	"CC-BY-4.0"	"Yes"	"No"	"CVM"	"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1006.35"	"10.1"	"USA"	"40.7559"	"-77.9998"	"396"	"2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1865483"	""	"https://doi.org/"	"2019"	""	"CO2, CO2_MIXING_RATIO, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UG1"	"East River Riparian"	"Dave Gochis (gochis@ucar.edu)"	"CC-BY-4.0"	"No"	"No"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Dsc"	"Dry Continental: cool summer"	"750"	"8"	"USA"	"38.9230"	"-106.9524"	"2755"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	""	""	""
"US-UiA"	"University of Illinois Switchgrass"	"Carl J Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1051"	"10.9"	"USA"	"40.0646"	"-88.1961"	"224"	"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"	"https://doi.org/10.17190/AMF/1617725"	""	"https://doi.org/"	"2008"	"2016"	"ALB, CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UiB"	"University of Illinois Miscanthus"	"Carl J Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1051"	"10.9"	"USA"	"40.0628"	"-88.1984"	"224"	"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/1846664"	""	"https://doi.org/"	"2008"	""	"ALB, CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UiC"	"University of Illinois Maize-Soy"	"Carl J Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1051"	"10.9"	"USA"	"40.0628"	"-88.1961"	"224"	"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"	"https://doi.org/10.17190/AMF/1846665"	""	"https://doi.org/"	"2008"	""	"ALB, CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UiD"	"University of Illinois Restored Native Prairie"	"Carl J Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	""	""	"1051"	"10.9"	"USA"	"40.0646"	"-88.1985"	"224"	"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"	"https://doi.org/10.17190/AMF/1987605"	""	"https://doi.org/"	"2008"	"2016"	"ALB, CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UiE"	"University of Illinois Sorghum-Soy"	"Carl Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1021"	"11.2"	"USA"	"40.0629"	"-88.2033"	"217"	""	"https://doi.org/"	""	"https://doi.org/"	"2018"	""	""	""
"US-UiF"	"University of Illinois Miscanthus 2"	"Carl Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1021"	"11.2"	"USA"	"40.0665"	"-88.2015"	"220"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	""	""	""
"US-UiG"	"University of Illinois Maize-Soy 2"	"Carl Bernacchi (bernacch@illinois.edu)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"1021"	"11.2"	"USA"	"40.0629"	"-88.2009"	"220"	""	"https://doi.org/"	""	"https://doi.org/"	"2017"	""	""	""
"US-ULM"	"ULM Flux Tower"	"Joydeep Bhattacharjee (joydeep@ulm.edu)"	"Legacy"	"No"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1356.36"	"18.77"	"USA"	"32.4570"	"-91.9743"	"20"	""	"https://doi.org/"	""	"https://doi.org/"	"2013"	""	""	""
"US-UM3"	"Douglas Lake"	"Gil Bohrer (bohrer.17@osu.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"WAT"	"Water Bodies : Oceans, seas, lakes, reservoirs, and rivers. Can be either fresh or salt- water bodies."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"803"	"5.83"	"USA"	"45.5686"	"-84.6707"	"234"	"2013, 2014"	"https://doi.org/10.17190/AMF/1480315"	"2013, 2014"	"https://doi.org/10.17190/AMF/1881596"	"2013"	"2014"	"CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, PA, RECO, RH, SC, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS, WTD"	""
"US-UMB"	"Univ. of Mich. Biological Station"	"Gil Bohrer (bohrer.17@osu.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"803"	"5.83"	"USA"	"45.5598"	"-84.7138"	"234"	"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1246107"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/2204882"	"1999"	""	"APAR, CO2, FAPAR, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"US-UMd"	"UMBS Disturbance"	"Gil Bohrer (bohrer.17@osu.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"803"	"5.83"	"USA"	"45.5625"	"-84.6975"	"239"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1246134"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/1881597"	"2007"	""	"CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"US-Upa"	"Upad"	"Walt Oechel (woechel@mail.sdsu.edu)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dsc"	"Dry Continental: cool summer"	"123.68"	"-13.57"	"USA"	"70.2815"	"-148.8848"	"5"	"1994"	"https://doi.org/10.17190/AMF/1246108"	""	"https://doi.org/"	"1993"	"1994"	"FC, G, H, LE, NETRAD, PPFD_IN, SW_IN, TA, TS, USTAR, WD, WS"	""
"US-UTB"	"UFLUX Bonneville Salt Flats"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"Yes"	"No"	"BSV"	"Barren Sparse Vegetation: Lands exposed soil, sand, or rocks and has less than 10% vegetative cover during any time of the year."	"Bwk"	"Desert: very cold winter"	"138.59"	"10.6"	"USA"	"40.7848"	"-113.8299"	"1287"	"2021, 2022, 2023"	"https://doi.org/10.17190/AMF/2001311"	""	"https://doi.org/"	"2021"	""	"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PBLH, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UTD"	"UFLUX Dugout Ranch"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Bwk"	"Desert: very cold winter"	"215.65"	"12"	"USA"	"38.1038"	"-109.5952"	"1580"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"US-UTM"	"UFLUX Matheson"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Bsk"	"Steppe: warm winter"	"240.03"	"13"	"USA"	"38.5879"	"-109.5775"	"1207"	""	"https://doi.org/"	""	"https://doi.org/"	"2022"	""	""	""
"US-UTN"	"UFLUX Nephi"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"396"	"10.2"	"USA"	"39.6896"	"-111.8814"	"1529"	"2023"	"https://doi.org/10.17190/AMF/2204058"	""	"https://doi.org/"	"2022"	""	"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PBLH, RH, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-UTV"	"UFLUX Desert View"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Bsk"	"Steppe: warm winter"	"177"	"16.7"	"USA"	"40.1266"	"-109.9546"	"1539"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"US-UTW"	"UFLUX Wellington"	"Paul Inkenbrandt (paulinkenbrandt@utah.gov)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"225.22"	"9.6"	"USA"	"39.4453"	"-110.7288"	"1682"	""	"https://doi.org/"	""	"https://doi.org/"	"2021"	""	""	""
"US-Var"	"Vaira Ranch- Ione"	"Dennis Baldocchi (Baldocchi@berkeley.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Csa"	"Mediterranean: mild with dry, hot summer"	"559"	"15.8"	"USA"	"38.4133"	"-120.9508"	"129"	"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1245984"	"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/1993904"	"2000"	""	"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"US-Vcm"	"Valles Caldera Mixed Conifer"	"Marcy Litvak (mlitvak@unm.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"646"	"6.4"	"USA"	"35.8884"	"-106.5321"	"3030"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1246121"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/2229391"	"2007"	""	"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS"	""
"US-Vcp"	"Valles Caldera Ponderosa Pine"	"Marcy Litvak (mlitvak@unm.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"550"	"9.8"	"USA"	"35.8642"	"-106.5967"	"2500"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1246122"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/2229392"	"2007"	""	"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS"	""
"US-Vcs"	"Valles Caldera Sulphur Springs Mixed Conifer"	"Marcy Litvak (mlitvak@unm.edu)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"550.93"	"4.6"	"USA"	"35.9193"	"-106.6142"	"2752"	"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1418681"	""	"https://doi.org/"	"2016"	""	"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS"	""
"US-VFP"	"Virginia Coast Reserve Fowling Point"	"Jose D. Fuentes (jdfuentes@psu.edu)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1023.3"	"14.05"	"USA"	"37.4111"	"-75.8333"	"1"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	""	""	""
